YEAR,ORG_ID,ORG_NAME,PROJECT_NAME,STUDENT/PROJECT URL,MENTOR/ORG_URL
2005,apache,Apache Software Foundation,J2EP (tomcat-reverse-proxy),Anders Nyman,Tim Funk
2005,apache,Apache Software Foundation,"A partial refactoring of WSRP4J, as well as a set of new features.",Diego Louzan Martinez,Julie MacNaught
2005,apache,Apache Software Foundation,Bandwidth Mod,Ivan Barrera,Ian  Holsman
2005,apache,Apache Software Foundation,mod_smtpd adds SMTP support to Apache httpd 2.x.,Jem Berkes,Nick Kew
2005,apache,Apache Software Foundation,AJAX skin for jetspeed2,Juan Núñez Jaramillo,Santiago Gala
2005,apache,Apache Software Foundation,Bootstrapping Maven w/ Gump3,Justin Merz,Leo Simons
2005,apache,Apache Software Foundation,Cocoon Forms Library,Max Pfingsthorn,Reinhard Poetz
2005,apache,Apache Software Foundation,httpd-mbox-if,Maxime Petazzoni,Ian Holsman
2005,apache,Apache Software Foundation,mod-cache-requester - Apache,Parinkumar Shah,Ian Holsman
2005,apache,Apache Software Foundation,mod_smtpd,Rian Hunter,Nick Kew
2005,apache,Apache Software Foundation,James Admin Console,Srinivas Anne,Danny Angus
2005,apache,Apache Software Foundation,LeboN - An example web application with MyFaces,Tessy Kizhakkekara,Martin Marinschek
2005,apache,Apache Software Foundation,Apache Kandula,Thilina Gunarathne,Sanjiva Weerawarana
2005,apache,Apache Software Foundation,StaX parser for Axis C++,Weerapurage Dinesh Premalal,Ajith Ranabahu
2005,apache,Apache Software Foundation,Apache Commons Math Numerical Enhancements,Xiaogang Zhang,Phil Steitz
2005,apache,Apache Software Foundation,Tune Apache Tomcat Jasper JSP Compilation Performance,Xingbo Gao,Yoav Shapira
2005,blender,Blender,Extending Inverse Kinematics For Blender,Brecht Van Lommel,Ton Roosendaal
2005,blender,Blender,"curves/surfaces, Nurbana integration",Emmanuel Stone,Martin Poirier
2005,blender,Blender,Blender/FFMPEG,Ian Gowen,Alexander Ewering
2005,blender,Blender,Boolean Development,Marc Freixas,Alexander Ewering
2005,blender,Blender,Fluid Simulation with Blender,Nils Thuerey,Jonathan Merritt
2005,blender,Blender,PyTexture,Timothy Wakeham,Campbell Barton
2005,codehaus,Codehaus,Oxyd,Jérémi Joslin,Vincent Massol
2005,codehaus,Codehaus,Implementation of JSR-88 (J2EE Application Deployment) support classes for Cargo.,Lev Olkhovich,Vincent Massol
2005,codehaus,Codehaus,Implementing Support for JBoss Application Server on Cargo,Nyoman Winardi,Vincent Massol
2005,codehaus,Codehaus,Implemented the WS-RM specification into XFire to allow SOAP messages to be sent reliably between two endpoints,Ti Khoi Anh Phan,Daniel Diephouse
2005,drupal,Drupal,WebDAV API for Drupal,Fabiano  Sant'Ana,James Walker
2005,drupal,Drupal,Drupal Quiz Module,Angela Byron,Károly Négyesi
2005,drupal,Drupal,Drupal Automated Test Suite,Jakub Zygmunt,Moshe Weitzman
2005,drupal,Drupal,netnews (NNTP) integration for Drupal,Jan Blom,Károly Négyesi
2005,drupal,Drupal,drupal subscription module,MÃ¡rton Elek,Károly Négyesi
2005,drupal,Drupal,Drupal - Google Sitemap,Matthew Loar,Gerhard Killesreiter
2005,drupal,Drupal,upcoming.org REST API for Drupal,Stephan Jaensch,James Walker
2005,drupal,Drupal,Ajax Functionality (Drupal),Steven Wittens,Robert Douglass
2005,drupal,Drupal,Drupal automated test suite,Thomas Ilsche,Moshe Weitzman
2005,fedora,Fedora Core,preload - an adaptive readahead daemon,Behdad Esfahbod,Elliot Lee
2005,fedora,Fedora Core,An application for Fedora-based live CD generation,Darko Ilic,Elliott Lee
2005,fedora,Fedora Core,pyBackPack,Dave Arter,Elliot Lee
2005,fedora,Fedora Core,Global Command History for Bash,Praveenkumar Ponnusamy,Elliot Lee
2005,fedora,Fedora Core,Python bindings for libparted,Ulisses Furquim Freire da Silva,Elliot Lee
2005,fedora,Fedora Core,setting process rlimits,Wieland Gmeiner,Elliot Lee
2005,freebsd,FreeBSD,"FreeBSD gvinum 'move', 'rename', documentation",Chris Jones,Lukas Ertl
2005,freebsd,FreeBSD,csup,Christoph Mathys,Maxime Henrion
2005,freebsd,FreeBSD,ssh based networked filesystem for FreeBSD,Csaba Henk,Scott Long
2005,freebsd,FreeBSD,FreeSBIE integration in FreeBSD,Dario Freni,Scott Long
